bagName  bagPred  bagTruth  bagProb  instPred  instTruth  instProb 
NonSP-34  0  0    0.035;  00000  00000  0.034 0.028 0.030 0.030 0.035
NonSP-56  0  0    0.034;  00000  00000  0.032 0.030 0.031 0.034 0.032
NonSP-4  0  0    0.034;  00000  00000  0.031 0.033 0.032 0.034 0.034
NonSP-78  0  0    0.035;  00000  00000  0.035 0.031 0.033 0.033 0.034
NonSP-47  0  0    0.034;  00000  00000  0.032 0.034 0.032 0.034 0.031
NonSP-102  0  0    0.033;  00000  00000  0.030 0.031 0.032 0.032 0.033
NonSP-80  0  0    0.037;  00000  00000  0.037 0.034 0.031 0.035 0.029
NonSP-61  0  0    0.032;  00000  00000  0.030 0.031 0.032 0.032 0.030
NonSP-66  0  0    0.035;  00000  00000  0.033 0.033 0.035 0.029 0.031
NonSP-119  0  0    0.039;  00000  00000  0.033 0.032 0.039 0.031 0.031
NonSP-39  0  0    0.032;  00000  00000  0.031 0.031 0.030 0.031 0.032
NonSP-53  0  0    0.033;  00000  00000  0.030 0.031 0.030 0.033 0.032
NonSP-101  0  0    0.035;  00000  00000  0.035 0.034 0.030 0.033 0.032
NonSP-13  0  0    0.035;  00000  00000  0.030 0.032 0.032 0.032 0.035
NonSP-124  0  0    0.033;  00000  00000  0.030 0.028 0.032 0.032 0.033
NonSP-69  0  0    0.036;  00000  00000  0.030 0.032 0.033 0.036 0.035
NonSP-31  0  0    0.036;  00000  00000  0.036 0.032 0.034 0.029 0.036
NonSP-122  0  0    0.038;  00000  00000  0.038 0.029 0.036 0.031 0.032
NonSP-37  0  0    0.042;  00000  00000  0.033 0.032 0.031 0.031 0.042
NonSP-104  0  0    0.037;  00000  00000  0.037 0.034 0.036 0.032 0.033
NonSP-132  0  0    0.036;  00000  00000  0.035 0.035 0.032 0.036 0.033
NonSP-128  0  0    0.036;  00000  00000  0.036 0.031 0.035 0.033 0.035
NonSP-26  0  0    0.035;  00000  00000  0.032 0.034 0.035 0.031 0.034
NonSP-14  0  0    0.035;  00000  00000  0.033 0.032 0.030 0.035 0.033
NonSP-131  0  0    0.037;  00000  00000  0.034 0.029 0.034 0.037 0.030
NonSP-62  0  0    0.035;  00000  00000  0.034 0.030 0.033 0.034 0.035
NonSP-110  0  0    0.041;  00000  00000  0.041 0.036 0.034 0.032 0.032

TP TN FP FN Accu Prec Reca F1 
0 135 0 0 1.000 NaN NaN NaN
