bagName  bagPred  bagTruth  bagProb  instPred  instTruth  instProb 
NonSP-7  0  0    0.003;  00000  00000  0.000 0.001 0.001 0.002 0.003
NonSP-37  0  0    0.036;  00000  00000  0.036 0.002 0.002 0.001 0.017
NonSP-24  0  0    0.006;  00000  00000  0.003 0.001 0.003 0.002 0.006
NonSP-104  0  0    0.005;  00000  00000  0.002 0.001 0.005 0.001 0.000
NonSP-22  0  0    0.009;  00000  00000  0.007 0.001 0.003 0.005 0.009
NonSP-34  0  0    0.017;  00000  00000  0.005 0.017 0.003 0.003 0.002
NonSP-1  0  0    0.006;  00000  00000  0.001 0.002 0.006 0.001 0.004
NonSP-41  0  0    0.009;  00000  00000  0.009 0.001 0.001 0.004 0.000
NonSP-74  0  0    0.005;  00000  00000  0.003 0.002 0.005 0.000 0.000
NonSP-126  0  0    0.032;  00000  00000  0.026 0.032 0.002 0.001 0.004
NonSP-127  0  0    0.020;  00000  00000  0.020 0.009 0.002 0.000 0.004
NonSP-32  0  0    0.009;  00000  00000  0.007 0.009 0.002 0.000 0.008
NonSP-129  0  0    0.032;  00000  00000  0.007 0.032 0.001 0.001 0.003
NonSP-56  0  0    0.017;  00000  00000  0.017 0.003 0.000 0.000 0.001
NonSP-65  0  0    0.040;  00000  00000  0.040 0.025 0.003 0.001 0.000
NonSP-78  0  0    0.003;  00000  00000  0.003 0.001 0.002 0.000 0.002
NonSP-55  0  0    0.004;  00000  00000  0.004 0.000 0.003 0.002 0.000
NonSP-112  0  0    0.020;  00000  00000  0.010 0.020 0.002 0.008 0.002
NonSP-27  0  0    0.014;  00000  00000  0.014 0.000 0.000 0.004 0.001
SP-92  1  1    1.000;  01000  11000  0.000 1.000 0.001 0.009 0.000
NonSP-106  0  0    0.005;  00000  00000  0.000 0.002 0.005 0.000 0.000
NonSP-36  0  0    0.008;  00000  00000  0.005 0.008 0.001 0.000 0.005
NonSP-102  0  0    0.017;  00000  00000  0.017 0.000 0.004 0.005 0.002
NonSP-76  0  0    0.039;  00000  00000  0.001 0.003 0.039 0.004 0.000
NonSP-31  0  0    0.035;  00000  00000  0.035 0.000 0.009 0.001 0.001
NonSP-133  0  0    0.084;  00000  00000  0.055 0.084 0.001 0.008 0.002

TP TN FP FN Accu Prec Reca F1 
1 128 1 0 0.992 0.500 1.000 0.667
