bagName  bagPred  bagTruth  bagProb  instPred  instTruth  instProb 
NonSP-63  0  0    0.005;  00000  00000  0.005 0.002 0.002 0.000 0.002
NonSP-18  0  0    0.022;  00000  00000  0.003 0.003 0.001 0.022 0.003
NonSP-28  0  0    0.013;  00000  00000  0.010 0.007 0.003 0.013 0.008
NonSP-12  0  0    0.005;  00000  00000  0.001 0.001 0.004 0.005 0.002
NonSP-17  0  0    0.064;  00000  00000  0.010 0.004 0.003 0.010 0.064
NonSP-46  0  0    0.187;  00000  00000  0.187 0.006 0.002 0.004 0.005
NonSP-41  0  0    0.011;  00000  00000  0.006 0.001 0.002 0.011 0.000
NonSP-104  0  0    0.007;  00000  00000  0.003 0.004 0.007 0.001 0.001
NonSP-80  0  0    0.009;  00000  00000  0.002 0.009 0.002 0.002 0.002
NonSP-82  0  0    0.054;  00000  00000  0.003 0.002 0.054 0.001 0.010
NonSP-78  0  0    0.007;  00000  00000  0.007 0.001 0.002 0.001 0.003
NonSP-125  0  0    0.063;  00000  00000  0.003 0.004 0.063 0.006 0.001
NonSP-51  0  0    0.013;  00000  00000  0.001 0.001 0.001 0.013 0.001
NonSP-124  0  0    0.040;  00000  00000  0.002 0.002 0.040 0.003 0.002
NonSP-126  0  0    0.019;  00000  00000  0.019 0.016 0.003 0.001 0.004
NonSP-108  0  0    0.022;  00000  00000  0.022 0.003 0.000 0.004 0.002
NonSP-122  0  0    0.149;  00000  00000  0.149 0.002 0.090 0.004 0.002
NonSP-42  0  0    0.020;  00000  00000  0.020 0.009 0.002 0.002 0.003
SP-92  1  1    0.966;  01000  11000  0.001 0.966 0.002 0.013 0.001
NonSP-52  0  0    0.027;  00000  00000  0.027 0.002 0.013 0.001 0.001
NonSP-111  0  0    0.028;  00000  00000  0.028 0.004 0.000 0.001 0.005
NonSP-30  0  0    0.023;  00000  00000  0.023 0.003 0.001 0.021 0.001
NonSP-26  0  0    0.006;  00000  00000  0.004 0.001 0.003 0.001 0.006
NonSP-131  0  0    0.029;  00000  00000  0.010 0.029 0.001 0.006 0.003
NonSP-25  0  0    0.008;  00000  00000  0.005 0.001 0.002 0.002 0.008
NonSP-101  0  0    0.007;  00000  00000  0.005 0.007 0.004 0.002 0.001
NonSP-11  0  0    0.003;  00000  00000  0.003 0.002 0.002 0.003 0.002

TP TN FP FN Accu Prec Reca F1 
1 133 1 0 0.993 0.500 1.000 0.667
