bagName  bagPred  bagTruth  bagProb  instPred  instTruth  instProb 
NonSP-44  0  0    0.052;  00000  00000  0.003 0.003 0.050 0.010 0.052
NonSP-29  0  0    0.066;  00000  00000  0.003 0.006 0.030 0.066 0.005
NonSP-81  0  0    0.071;  00000  00000  0.032 0.009 0.007 0.071 0.042
NonSP-62  0  0    0.040;  00000  00000  0.005 0.000 0.040 0.040 0.040
SP-88  0  1    0.058;  00000  11000  0.015 0.003 0.032 0.042 0.058
NonSP-104  0  0    0.058;  00000  00000  0.009 0.043 0.010 0.058 0.040
NonSP-39  0  0    0.040;  00000  00000  0.003 0.007 0.004 0.005 0.040
NonSP-123  0  0    0.012;  00000  00000  0.009 0.008 0.005 0.003 0.012
NonSP-129  0  0    0.042;  00000  00000  0.012 0.005 0.031 0.042 0.003
NonSP-49  0  0    0.038;  00000  00000  0.000 0.025 0.012 0.038 0.034
SP-86  0  1    0.087;  00000  11000  0.025 0.003 0.015 0.087 0.030
NonSP-64  0  0    0.042;  00000  00000  0.014 0.007 0.019 0.042 0.012
NonSP-133  0  0    0.019;  00000  00000  0.003 0.004 0.013 0.000 0.019
NonSP-53  0  0    0.031;  00000  00000  0.014 0.009 0.009 0.013 0.031
NonSP-127  0  0    0.024;  00000  00000  0.007 0.003 0.012 0.019 0.024
NonSP-47  0  0    0.046;  00000  00000  0.006 0.009 0.014 0.046 0.023
NonSP-80  0  0    0.045;  00000  00000  0.022 0.011 0.016 0.045 0.004
NonSP-3  0  0    0.055;  00000  00000  0.008 0.010 0.006 0.007 0.055
NonSP-5  0  0    0.022;  00000  00000  0.022 0.011 0.008 0.013 0.011
SP-89  0  1    0.046;  00000  11000  0.034 0.014 0.046 0.037 0.008
SP-97  0  1    0.058;  00000  11000  0.041 0.005 0.027 0.052 0.058
NonSP-9  0  0    0.023;  00000  00000  0.008 0.011 0.006 0.013 0.023
NonSP-6  0  0    0.019;  00000  00000  0.003 0.009 0.009 0.019 0.014
NonSP-61  0  0    0.014;  00000  00000  0.003 0.012 0.009 0.014 0.009
SP-84  0  1    0.041;  00000  11000  0.000 0.000 0.039 0.011 0.041
NonSP-119  0  0    0.021;  00000  00000  0.004 0.021 0.004 0.003 0.006
NonSP-115  0  0    0.009;  00000  00000  0.009 0.008 0.003 0.000 0.009

TP TN FP FN Accu Prec Reca F1 
0 125 10 0 0.926 0.000 NaN 0.000
